iter	RMSE
354	5.452179856
355	5.447070826
356	5.441090412
357	5.437032115
358	5.433934992
359	5.43182392
360	5.425635153
361	5.423040353
362	5.417283616
363	5.411681568
364	5.406106793
365	5.400684557
366	5.39599125
367	5.39065317
368	5.387306379
369	5.382778489
370	5.376549959
371	5.371947884
372	5.36655382
373	5.361896514
374	5.353990659
375	5.347768259
376	5.344406716
377	5.341235468
378	5.338620188
379	5.334674942
380	5.329727047
381	5.326657729
382	5.323003613
383	5.313212597
384	5.305295288
385	5.298730575
386	5.292023274
387	5.288952516
388	5.282483864
389	5.279690635
390	5.278919056
391	5.274001546
392	5.271441539
393	5.2588574
394	5.254154815
395	5.250780858
396	5.244904301
397	5.239351679
398	5.236754201
399	5.229845394
400	5.22772754
401	5.226699847
402	5.220754115
403	5.219243854
404	5.216098094
405	5.212992277
406	5.209834564
407	5.205283453
408	5.195009991
409	5.192100901
410	5.187711791
411	5.182976083
412	5.177158786
413	5.173005368
414	5.169481385
415	5.16621645
416	5.163994454
417	5.160461733
418	5.156181821
419	5.151800239
420	5.149083257
421	5.141978038
422	5.132566769
423	5.131144122
424	5.126855043
425	5.122675839
426	5.114909128
427	5.108512115
428	5.102883153
429	5.096905084
430	5.092724411
431	5.090315919
432	5.086503471
433	5.081619265
434	5.077543942
435	5.070249318
436	5.064716805
437	5.060152273
438	5.055908243
439	5.054503449
440	5.052343989
441	5.048303693
442	5.043244604
443	5.034883437
444	5.031626591
445	5.030477302
446	5.024495927
447	5.019020875
448	5.01277665
449	5.010508086
450	5.003804464
451	4.99901006
452	4.994221449
453	4.98874228
454	4.983950778
455	4.976335951
456	4.972703066
457	4.962966605
458	4.959271549
459	4.949098828
460	4.946072233
461	4.940791698
462	4.938104527
463	4.931438653
464	4.92311332
465	4.920641284
466	4.917032709
467	4.915137332
468	4.911503347
469	4.904670979
470	4.90197294
471	4.897741061
472	4.893280022
473	4.887454868
474	4.884036344
475	4.878907242
476	4.874739583
477	4.872205858
478	4.864881142
479	4.863104606
480	4.86019371
481	4.856833777
482	4.851779425
483	4.845409943
484	4.840280759
485	4.836721787
486	4.83159432
487	4.826881769
488	4.818842596
489	4.814757002
490	4.81269384
491	4.80933712
492	4.801818841
493	4.798483263
494	4.795647817
495	4.787886034
496	4.785053163
497	4.776804743
498	4.769045086
499	4.763487912
